période_de_référence,géo,dguid,personnes_à_faible_revenu,lignes_de_faible_revenu,statistiques,unité_de_mesure,identificateur_d'unité_de_mesure,facteur_scalaire,identificateur_scalaire,vecteur,coordonnées,valeur,status,décimales
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132444,3.16.6.2,3.0,E,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132444,3.16.6.2,3.3,E,1
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132453,3.19.6.2,10.8,D,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132453,3.19.6.2,14.9,D,1
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132456,3.20.6.2,3.8,E,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132456,3.20.6.2,6.7,E,1
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132459,3.21.6.2,42.3,D,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132459,3.21.6.2,47.4,D,1
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132474,3.26.6.2,29.5,C,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132474,3.26.6.2,29.0,C,1
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132483,3.29.6.2,14.2,D,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132483,3.29.6.2,11.7,D,1
2022,Terre-Neuve-et-Labrador,2021A000210,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132492,3.32.6.2,37.1,C,1
2023,Terre-Neuve-et-Labrador,2021A000210,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132492,3.32.6.2,37.6,C,1
2022,Île-du-Prince-Édouard,2021A000211,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132501,4.1.6.2,9.8,C,1
2023,Île-du-Prince-Édouard,2021A000211,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132501,4.1.6.2,11.3,C,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132504,4.2.6.2,8.3,E,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132504,4.2.6.2,13.5,D,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132507,4.3.6.2,10.6,C,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132507,4.3.6.2,12.5,C,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132510,4.4.6.2,8.6,D,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132510,4.4.6.2,5.4,D,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132537,4.13.6.2,6.4,D,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132537,4.13.6.2,8.2,D,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132546,4.16.6.2,4.6,E,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132546,4.16.6.2,2.3,E,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132555,4.19.6.2,8.3,E,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132555,4.19.6.2,13.3,D,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132558,4.20.6.2,5.5,E,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132558,4.20.6.2,8.6,E,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132561,4.21.6.2,21.2,E,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132561,4.21.6.2,32.1,E,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132576,4.26.6.2,26.2,C,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132576,4.26.6.2,26.6,C,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132585,4.29.6.2,18.8,D,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132585,4.29.6.2,13.1,D,1
2022,Île-du-Prince-Édouard,2021A000211,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132594,4.32.6.2,29.9,C,1
2023,Île-du-Prince-Édouard,2021A000211,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132594,4.32.6.2,33.5,C,1
2022,Nouvelle-Écosse,2021A000212,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132603,5.1.6.2,13.1,B,1
2023,Nouvelle-Écosse,2021A000212,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132603,5.1.6.2,12.9,B,1
2022,Nouvelle-Écosse,2021A000212,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132606,5.2.6.2,14.0,D,1
2023,Nouvelle-Écosse,2021A000212,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132606,5.2.6.2,15.2,D,1
2022,Nouvelle-Écosse,2021A000212,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132609,5.3.6.2,13.8,B,1
2023,Nouvelle-Écosse,2021A000212,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132609,5.3.6.2,13.9,B,1
2022,Nouvelle-Écosse,2021A000212,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132612,5.4.6.2,10.4,C,1
2023,Nouvelle-Écosse,2021A000212,Personnes de 65 ans et plus,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132612,5.4.6.2,8.6,C,1
2022,Nouvelle-Écosse,2021A000212,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132639,5.13.6.2,8.5,C,1
2023,Nouvelle-Écosse,2021A000212,Personnes dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132639,5.13.6.2,8.7,C,1
2022,Nouvelle-Écosse,2021A000212,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132648,5.16.6.2,4.8,D,1
2023,Nouvelle-Écosse,2021A000212,Personnes âgées dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132648,5.16.6.2,3.4,E,1
2022,Nouvelle-Écosse,2021A000212,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132657,5.19.6.2,13.7,D,1
2023,Nouvelle-Écosse,2021A000212,Personnes de moins de 18 ans dans les familles économiques,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132657,5.19.6.2,15.1,D,1
2022,Nouvelle-Écosse,2021A000212,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132660,5.20.6.2,8.1,E,1
2023,Nouvelle-Écosse,2021A000212,Personnes de moins de 18 ans dans les familles composées d'un couple avec enfants,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132660,5.20.6.2,11.4,D,1
2022,Nouvelle-Écosse,2021A000212,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132663,5.21.6.2,37.5,D,1
2023,Nouvelle-Écosse,2021A000212,Personnes de moins de 18 ans dans les familles monoparentales où le parent est une femme,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132663,5.21.6.2,31.2,D,1
2022,Nouvelle-Écosse,2021A000212,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132678,5.26.6.2,32.6,B,1
2023,Nouvelle-Écosse,2021A000212,Personnes hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132678,5.26.6.2,30.6,B,1
2022,Nouvelle-Écosse,2021A000212,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132687,5.29.6.2,25.2,C,1
2023,Nouvelle-Écosse,2021A000212,Personnes âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132687,5.29.6.2,22.2,C,1
2022,Nouvelle-Écosse,2021A000212,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132696,5.32.6.2,36.1,B,1
2023,Nouvelle-Écosse,2021A000212,Personnes non âgées hors famille économique,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132696,5.32.6.2,34.6,C,1
2022,Nouveau-Brunswick,2021A000213,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132705,6.1.6.2,10.9,B,1
2023,Nouveau-Brunswick,2021A000213,Toutes les personnes,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132705,6.1.6.2,11.6,B,1
2022,Nouveau-Brunswick,2021A000213,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132708,6.2.6.2,11.3,D,1
2023,Nouveau-Brunswick,2021A000213,Personnes de moins de 18 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132708,6.2.6.2,14.9,C,1
2022,Nouveau-Brunswick,2021A000213,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132711,6.3.6.2,11.7,B,1
2023,Nouveau-Brunswick,2021A000213,Personnes de 18 à 64 ans,"Mesure du panier de consommation, base de 2018",Pourcentage de personnes à faible revenu,Pourcent,239,unités,0,v1206132711,6.3.6.2,12.3,B,1
